user_id,watch_time_hours,total_sessions,avg_session_mins,weekday_watch_ratio,recency_days,short_session_ratio,top_genres
USR-1000,8.3,33,27.6,0.33,8.0,0.7,"Comedy,Animation"
USR-1001,68.5,26,87.4,0.55,1.0,0.14,"Sci-Fi,Action,Thriller"
USR-1002,19.9,24,12.8,0.31,3.0,0.71,"Animation,Romance"
USR-1003,2.7,2,39.1,0.77,23.0,0.62,Comedy
USR-1004,76.7,68,63.0,0.65,3.0,0.08,"Action,Sci-Fi"
USR-1005,23.5,33,45.8,0.46,2.0,0.43,"Sci-Fi,Drama,Comedy,Action"
USR-1006,4.7,2,36.4,0.78,38.0,0.62,Documentary
USR-1007,5.6,25,18.6,0.36,8.0,0.82,Animation
USR-1008,5.7,1,22.4,0.57,43.0,0.34,Drama
USR-1009,19.9,17,35.8,0.44,5.0,0.89,Animation
USR-1010,39.6,38,68.8,0.61,2.0,0.21,"Horror,Sci-Fi,Comedy"
USR-1011,87.2,60,74.6,0.78,3.0,0.09,"Action,Sci-Fi,Thriller"
USR-1012,6.3,4,23.3,0.33,29.0,0.66,Comedy
USR-1013,2.2,1,16.7,0.59,22.0,0.64,Drama
USR-1014,26.7,24,23.8,0.4,6.0,0.67,"Romance,Animation"
USR-1015,14.9,31,11.6,0.34,8.0,0.61,Comedy
USR-1016,14.5,15,23.1,0.37,2.0,0.76,"Comedy,Romance"
USR-1017,37.4,46,41.7,0.62,5.0,0.39,"Sci-Fi,Comedy,Animation,Thriller"
USR-1018,35.0,33,60.3,0.4,3.0,0.44,"Romance,Horror,Sci-Fi,Drama,Documentary"
USR-1019,93.1,31,92.9,0.7,2.0,0.2,"Sci-Fi,Thriller,Action"
USR-1020,4.2,3,25.0,0.31,44.0,0.58,"Drama,Documentary"
USR-1021,5.5,3,32.2,0.76,29.0,0.53,"Comedy,Drama"
USR-1022,62.4,45,55.7,0.7,4.0,0.41,"Romance,Comedy,Horror"
USR-1023,44.5,54,69.6,0.79,1.0,0.12,"Thriller,Action,Sci-Fi"
USR-1024,72.8,30,51.1,0.46,5.0,0.35,"Drama,Sci-Fi,Documentary,Comedy,Romance"
USR-1025,3.7,5,27.4,0.54,42.0,0.33,Comedy
USR-1026,1.7,1,14.9,0.44,12.0,0.53,"Drama,Comedy"
USR-1027,24.3,39,41.0,0.66,1.0,0.45,"Thriller,Action,Horror"
USR-1028,10.6,21,26.6,0.45,4.0,0.79,"Comedy,Romance"
USR-1029,41.6,46,125.0,0.6,2.0,0.13,"Action,Sci-Fi"
USR-1030,4.9,5,5.0,0.51,14.0,0.48,"Comedy,Documentary"
USR-1031,27.9,34,30.1,0.34,2.0,0.75,"Animation,Comedy"
USR-1032,24.6,19,21.5,0.36,7.0,0.73,"Animation,Romance"
USR-1033,57.9,49,71.9,0.7,1.0,0.15,"Action,Thriller"
USR-1034,24.1,41,72.1,0.57,3.0,0.43,"Horror,Drama,Comedy"
USR-1035,7.2,19,24.2,0.42,6.0,0.79,"Comedy,Animation"
USR-1036,54.0,34,50.1,0.61,2.0,0.21,"Romance,Sci-Fi,Action,Documentary,Drama"
USR-1037,5.1,1,31.4,0.78,19.0,0.38,Comedy
USR-1038,57.7,32,89.2,0.62,2.0,0.05,"Thriller,Action,Sci-Fi"
USR-1039,8.7,25,35.6,0.56,4.0,0.73,Romance
USR-1040,76.2,59,97.2,0.62,2.0,0.09,"Action,Thriller,Sci-Fi"
USR-1041,49.2,52,36.7,0.63,1.0,0.31,"Comedy,Documentary,Horror"
USR-1042,70.9,55,82.5,0.79,3.0,0.12,"Thriller,Sci-Fi,Action"
